dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,train_size,validation_size,test_size
pavia_university,spectral_qnn_gated_supcon,5,0,0.8205952018010835,0.8503590293491589,0.7714655802991467,0.7923815578720147,0.8291264016782426,12,8.477442979812622,74.9093918800354,1455,45,90,42641
pavia_university,spectral_qnn_gated_supcon,5,1,0.8062662695527778,0.8405973770864106,0.7539504359607206,0.7952284231960874,0.8150016900373408,20,10.301897048950195,68.871652841568,1455,45,90,42641
pavia_university,spectral_qnn_gated_supcon,5,2,0.7046035505733919,0.8004109492628017,0.6390786182380375,0.7194711966466525,0.7229402864845843,13,7.810395956039429,68.12307500839233,1455,45,90,42641
pavia_university,spectral_qnn_gated_supcon,5,3,0.7736919865856805,0.8240616189986394,0.7167733627449617,0.7711960014492211,0.7899254084516181,41,17.32419490814209,67.72272396087646,1455,45,90,42641
pavia_university,spectral_qnn_gated_supcon,5,4,0.8004971740812833,0.8243363057306815,0.7403713312137085,0.7923710844331906,0.8029041332613505,29,13.24193787574768,67.65862202644348,1455,45,90,42641
pavia_university,spectral_qnn_gated_supcon,10,0,0.903512066860738,0.9051284184933952,0.8738486345918208,0.8700537377498355,0.9041164513652736,11,11.181553840637209,67.82183003425598,1455,90,90,42596
pavia_university,spectral_qnn_gated_supcon,10,1,0.8434125269978402,0.8886314223042958,0.7998621721369081,0.8532162899017094,0.8489699783453691,21,16.51155185699463,67.93758201599121,1455,90,90,42596
pavia_university,spectral_qnn_gated_supcon,10,2,0.8734388205465302,0.9253957937868444,0.8390692659513661,0.8781536174849733,0.8858085461886022,14,12.809902906417848,67.60693693161011,1455,90,90,42596
pavia_university,spectral_qnn_gated_supcon,10,3,0.857451403887689,0.9012849848090267,0.8163500853118593,0.8763719534202035,0.8584587424802869,21,16.50758194923401,67.75990414619446,1455,90,90,42596
pavia_university,spectral_qnn_gated_supcon,10,4,0.839656305756409,0.8889498302362351,0.7963727574134248,0.851711638634401,0.8542805279083988,9,10.108785152435305,67.36785984039307,1455,90,90,42596
salinas,spectral_qnn_gated_supcon,5,0,0.8535137040954555,0.9249448438682162,0.8376412752396795,0.9161118853562288,0.8542351868057139,26,22.12192678451538,94.76111507415771,2176,80,160,53889
salinas,spectral_qnn_gated_supcon,5,1,0.8155282154057414,0.9112576708850446,0.7947417341464929,0.9051924176461716,0.8163117337556022,14,16.656791925430298,96.46848392486572,2176,80,160,53889
salinas,spectral_qnn_gated_supcon,5,2,0.883315704503702,0.9445190170597011,0.87007875156479,0.9362278018284143,0.883231272171806,20,20.81049919128418,96.82206797599792,2176,80,160,53889
salinas,spectral_qnn_gated_supcon,5,3,0.8328230251071648,0.9254780653073036,0.8140116872556775,0.923558632234546,0.8340286151492275,34,30.65546703338623,97.02478122711182,2176,80,160,53889
salinas,spectral_qnn_gated_supcon,5,4,0.8939672289335486,0.9412715389680589,0.8826043303872393,0.9310978134817193,0.8944741397529137,13,15.916671991348267,98.72919082641602,2176,80,160,53889
salinas,spectral_qnn_gated_supcon,10,0,0.8608597074838782,0.9343854605689841,0.8444617904371882,0.930041179097209,0.853752225602723,13,25.51732897758484,93.60054302215576,2176,160,160,53809
salinas,spectral_qnn_gated_supcon,10,1,0.9493764983552937,0.9761825755731262,0.9436753873696369,0.9712696839199979,0.9496468503670324,10,21.881107330322266,96.72978615760803,2176,160,160,53809
salinas,spectral_qnn_gated_supcon,10,2,0.9257001616829899,0.9658116945285589,0.9172495514701937,0.9614971704434249,0.9253621865144327,12,24.143910884857178,96.16688179969788,2176,160,160,53809
salinas,spectral_qnn_gated_supcon,10,3,0.9081752123250757,0.9588265578516977,0.8979048015150849,0.9537111510004581,0.9091158928743989,16,28.47413206100464,96.8655297756195,2176,160,160,53809
salinas,spectral_qnn_gated_supcon,10,4,0.9415711126391496,0.9751096775211123,0.9351377114748106,0.9686916147585507,0.9421908542725415,17,29.344326972961426,96.37161898612976,2176,160,160,53809
