dataset,shot,model,loss_type,seed,oa,aa,kappa,macro_f1,weighted_f1
pavia_university,10,spectral_qnn_prelogit_confguard_gated_supcon,SupCon,0,0.8940041318433656,0.8878747983207211,0.8612929592653137,0.8591668247372817,0.8941927780905774
pavia_university,10,spectral_qnn_prelogit_confguard_gated_supcon,SupCon,1,0.8334115879425298,0.8845602695435875,0.7873991662167305,0.8094742376626641,0.8403710637893285
pavia_university,10,spectral_qnn_prelogit_confguard_gated_supcon,SupCon,2,0.8555028641186966,0.9019908147272105,0.8167429356298007,0.8532722561530176,0.8695020253789106
pavia_university,10,spectral_qnn_prelogit_confguard_gated_supcon,SupCon,3,0.8480138980185933,0.8832459096297287,0.8046596578808081,0.8501604103372161,0.850140620917357
pavia_university,10,spectral_qnn_prelogit_confguard_gated_supcon,SupCon,4,0.8218612076251292,0.8614277868831198,0.7744380006684628,0.8091469621932905,0.8361033018224009
salinas,10,spectral_qnn_prelogit_confguard_gated_supcon,SupCon,0,0.8286160307755208,0.927544323452244,0.8106881621450148,0.9137387768676937,0.8262078294157493
salinas,10,spectral_qnn_prelogit_confguard_gated_supcon,SupCon,1,0.9428348417550967,0.978533061637483,0.9365882080299655,0.9722614312095914,0.9434333648001808
salinas,10,spectral_qnn_prelogit_confguard_gated_supcon,SupCon,2,0.9126726012377112,0.9615351034113089,0.9031743002231845,0.953683381575869,0.9131452880961264
salinas,10,spectral_qnn_prelogit_confguard_gated_supcon,SupCon,3,0.9239718262744151,0.9577021270434317,0.9151462752686639,0.9527961819109529,0.9225302081544257
salinas,10,spectral_qnn_prelogit_confguard_gated_supcon,SupCon,4,0.9133973870542103,0.9582624556055025,0.9039675139627639,0.9510180659461269,0.9141316679931238
